"county_name","Perf_Level_Statement","Disp_Level_Statement","Pop_Level_Statement"
"Alameda","Alameda County's performance across indicators is above average for California counties.","Alameda County's racial disparity across indicators is below average for California counties.","Alameda County is more populous compared to other California counties."
"Alpine",NA,NA,"Alpine County is less populous compared to other California counties."
"Amador","Amador County's performance across indicators is below average for California counties.","Amador County's racial disparity across indicators is below average for California counties.","Amador County is less populous compared to other California counties."
"Butte","Butte County's performance across indicators is below average for California counties.","Butte County's racial disparity across indicators is below average for California counties.","Butte County is less populous compared to other California counties."
"Calaveras","Calaveras County's performance across indicators is above average for California counties.","Calaveras County's racial disparity across indicators is above average for California counties.","Calaveras County is less populous compared to other California counties."
"Colusa","Colusa County's performance across indicators is below average for California counties.","Colusa County's racial disparity across indicators is above average for California counties.","Colusa County is less populous compared to other California counties."
"Contra Costa","Contra Costa County's performance across indicators is above average for California counties.","Contra Costa County's racial disparity across indicators is below average for California counties.","Contra Costa County is more populous compared to other California counties."
"Del Norte","Del Norte County's performance across indicators is below average for California counties.","Del Norte County's racial disparity across indicators is above average for California counties.","Del Norte County is less populous compared to other California counties."
"El Dorado","El Dorado County's performance across indicators is above average for California counties.","El Dorado County's racial disparity across indicators is above average for California counties.","El Dorado County is less populous compared to other California counties."
"Fresno","Fresno County's performance across indicators is below average for California counties.","Fresno County's racial disparity across indicators is above average for California counties.","Fresno County is less populous compared to other California counties."
"Glenn","Glenn County's performance across indicators is below average for California counties.","Glenn County's racial disparity across indicators is above average for California counties.","Glenn County is less populous compared to other California counties."
"Humboldt","Humboldt County's performance across indicators is below average for California counties.","Humboldt County's racial disparity across indicators is above average for California counties.","Humboldt County is less populous compared to other California counties."
"Imperial","Imperial County's performance across indicators is below average for California counties.","Imperial County's racial disparity across indicators is above average for California counties.","Imperial County is less populous compared to other California counties."
"Inyo","Inyo County's performance across indicators is below average for California counties.","Inyo County's racial disparity across indicators is above average for California counties.","Inyo County is less populous compared to other California counties."
"Kern","Kern County's performance across indicators is below average for California counties.","Kern County's racial disparity across indicators is below average for California counties.","Kern County is less populous compared to other California counties."
"Kings","Kings County's performance across indicators is below average for California counties.","Kings County's racial disparity across indicators is above average for California counties.","Kings County is less populous compared to other California counties."
"Lake","Lake County's performance across indicators is below average for California counties.","Lake County's racial disparity across indicators is above average for California counties.","Lake County is less populous compared to other California counties."
"Lassen","Lassen County's performance across indicators is below average for California counties.","Lassen County's racial disparity across indicators is above average for California counties.","Lassen County is less populous compared to other California counties."
"Los Angeles","Los Angeles County's performance across indicators is below average for California counties.","Los Angeles County's racial disparity across indicators is below average for California counties.","Los Angeles County is more populous compared to other California counties."
"Madera","Madera County's performance across indicators is below average for California counties.","Madera County's racial disparity across indicators is below average for California counties.","Madera County is less populous compared to other California counties."
"Marin","Marin County's performance across indicators is above average for California counties.","Marin County's racial disparity across indicators is above average for California counties.","Marin County is less populous compared to other California counties."
"Mariposa","Mariposa County's performance across indicators is below average for California counties.","Mariposa County's racial disparity across indicators is below average for California counties.","Mariposa County is less populous compared to other California counties."
"Mendocino","Mendocino County's performance across indicators is below average for California counties.","Mendocino County's racial disparity across indicators is above average for California counties.","Mendocino County is less populous compared to other California counties."
"Merced","Merced County's performance across indicators is below average for California counties.","Merced County's racial disparity across indicators is below average for California counties.","Merced County is less populous compared to other California counties."
"Modoc","Modoc County's performance across indicators is below average for California counties.",NA,"Modoc County is less populous compared to other California counties."
"Mono","Mono County's performance across indicators is above average for California counties.","Mono County's racial disparity across indicators is above average for California counties.","Mono County is less populous compared to other California counties."
"Monterey","Monterey County's performance across indicators is below average for California counties.","Monterey County's racial disparity across indicators is below average for California counties.","Monterey County is less populous compared to other California counties."
"Napa","Napa County's performance across indicators is above average for California counties.","Napa County's racial disparity across indicators is below average for California counties.","Napa County is less populous compared to other California counties."
"Nevada","Nevada County's performance across indicators is above average for California counties.","Nevada County's racial disparity across indicators is below average for California counties.","Nevada County is less populous compared to other California counties."
"Orange","Orange County's performance across indicators is above average for California counties.","Orange County's racial disparity across indicators is below average for California counties.","Orange County is more populous compared to other California counties."
"Placer","Placer County's performance across indicators is above average for California counties.","Placer County's racial disparity across indicators is below average for California counties.","Placer County is less populous compared to other California counties."
"Plumas","Plumas County's performance across indicators is below average for California counties.","Plumas County's racial disparity across indicators is above average for California counties.","Plumas County is less populous compared to other California counties."
"Riverside","Riverside County's performance across indicators is below average for California counties.","Riverside County's racial disparity across indicators is below average for California counties.","Riverside County is more populous compared to other California counties."
"Sacramento","Sacramento County's performance across indicators is above average for California counties.","Sacramento County's racial disparity across indicators is below average for California counties.","Sacramento County is more populous compared to other California counties."
"San Benito","San Benito County's performance across indicators is above average for California counties.","San Benito County's racial disparity across indicators is below average for California counties.","San Benito County is less populous compared to other California counties."
"San Bernardino","San Bernardino County's performance across indicators is below average for California counties.","San Bernardino County's racial disparity across indicators is below average for California counties.","San Bernardino County is more populous compared to other California counties."
"San Diego","San Diego County's performance across indicators is above average for California counties.","San Diego County's racial disparity across indicators is below average for California counties.","San Diego County is more populous compared to other California counties."
"San Francisco","San Francisco County's performance across indicators is above average for California counties.","San Francisco County's racial disparity across indicators is above average for California counties.","San Francisco County is more populous compared to other California counties."
"San Joaquin","San Joaquin County's performance across indicators is below average for California counties.","San Joaquin County's racial disparity across indicators is below average for California counties.","San Joaquin County is less populous compared to other California counties."
"San Luis Obispo","San Luis Obispo County's performance across indicators is above average for California counties.","San Luis Obispo County's racial disparity across indicators is below average for California counties.","San Luis Obispo County is less populous compared to other California counties."
"San Mateo","San Mateo County's performance across indicators is above average for California counties.","San Mateo County's racial disparity across indicators is above average for California counties.","San Mateo County is less populous compared to other California counties."
"Santa Barbara","Santa Barbara County's performance across indicators is above average for California counties.","Santa Barbara County's racial disparity across indicators is below average for California counties.","Santa Barbara County is less populous compared to other California counties."
"Santa Clara","Santa Clara County's performance across indicators is above average for California counties.","Santa Clara County's racial disparity across indicators is below average for California counties.","Santa Clara County is more populous compared to other California counties."
"Santa Cruz","Santa Cruz County's performance across indicators is above average for California counties.","Santa Cruz County's racial disparity across indicators is below average for California counties.","Santa Cruz County is less populous compared to other California counties."
"Shasta","Shasta County's performance across indicators is below average for California counties.","Shasta County's racial disparity across indicators is below average for California counties.","Shasta County is less populous compared to other California counties."
"Sierra",NA,NA,"Sierra County is less populous compared to other California counties."
"Siskiyou","Siskiyou County's performance across indicators is below average for California counties.","Siskiyou County's racial disparity across indicators is above average for California counties.","Siskiyou County is less populous compared to other California counties."
"Solano","Solano County's performance across indicators is below average for California counties.","Solano County's racial disparity across indicators is below average for California counties.","Solano County is less populous compared to other California counties."
"Sonoma","Sonoma County's performance across indicators is above average for California counties.","Sonoma County's racial disparity across indicators is below average for California counties.","Sonoma County is less populous compared to other California counties."
"Stanislaus","Stanislaus County's performance across indicators is below average for California counties.","Stanislaus County's racial disparity across indicators is below average for California counties.","Stanislaus County is less populous compared to other California counties."
"Sutter","Sutter County's performance across indicators is below average for California counties.","Sutter County's racial disparity across indicators is below average for California counties.","Sutter County is less populous compared to other California counties."
"Tehama","Tehama County's performance across indicators is below average for California counties.","Tehama County's racial disparity across indicators is above average for California counties.","Tehama County is less populous compared to other California counties."
"Trinity","Trinity County's performance across indicators is below average for California counties.",NA,"Trinity County is less populous compared to other California counties."
"Tulare","Tulare County's performance across indicators is below average for California counties.","Tulare County's racial disparity across indicators is above average for California counties.","Tulare County is less populous compared to other California counties."
"Tuolumne","Tuolumne County's performance across indicators is below average for California counties.","Tuolumne County's racial disparity across indicators is above average for California counties.","Tuolumne County is less populous compared to other California counties."
"Ventura","Ventura County's performance across indicators is above average for California counties.","Ventura County's racial disparity across indicators is below average for California counties.","Ventura County is less populous compared to other California counties."
"Yolo","Yolo County's performance across indicators is above average for California counties.","Yolo County's racial disparity across indicators is above average for California counties.","Yolo County is less populous compared to other California counties."
"Yuba","Yuba County's performance across indicators is below average for California counties.","Yuba County's racial disparity across indicators is above average for California counties.","Yuba County is less populous compared to other California counties."
